Trait	Population	Spearman correlation (R) to residualized trait	Number of individuals	P-value	Variance explained relative to White British	geno	covar	geno_covar
C-reactive protein	white_british	0.353	63656	0	1	0.12146726865236	0.0283757881579886	0.147858487132524
Calcium	white_british	0.26	58264	0	1	0.0623624497128662	0.0528777713014572	0.114971614885267
Cholesterol	white_british	0.429	63794	0	1	0.172364520084411	0.0925602237579475	0.263948282142693
Creatinine	white_british	0.337	63758	0	1	0.0672215961840445	0.347798045587662	0.415648139793594
Creatinine in urine	white_british	0.077	62142	3.38e-82	1	0.00600130431809282	0.143533365314203	0.149188449031017
Cystatin C	white_british	0.405	63762	0	1	0.119355678181995	0.173023055948774	0.295089491900245
Direct bilirubin	white_british	0.46	54161	0	1	0.230227312687964	0.0952317337864695	0.342941103422215
eGFR	white_british	0.313	63758	0	1	0.0603143651343059	0.184826002526852	0.24611474219234
Gamma glutamyltransferase	white_british	0.375	63756	0	1	0.11584363014645	0.133620117562167	0.247646927122149
Glucose	white_british	0.214	2208	2.16e-24	1	0.0218825896285158	0.0474436334202501	0.0696633857200855
HbA1c	white_british	0.375	60920	0	1	0.0928535128536147	0.0709335597101996	0.163808011012122
HDL cholesterol	white_british	0.438	58251	0	1	0.165436635487003	0.194069745500038	0.356478738859173
IGF-1	white_british	0.369	63393	0	1	0.125600645208032	0.0778374673717423	0.204338086999658
LDL cholesterol	white_british	0.446	63675	0	1	0.193541338609781	0.0712634868327806	0.264094980227126
Lipoprotein A	white_british	0.692	50709	0	1	0.51188203568001	0.00568395662946715	0.51647606197692
Microalbumin in urine	white_british	0.021	19352	0.00368	1	0.000310905138274931	0.0198152422163512	0.020065329981917
Non-albumin protein	white_british	0.311	58196	0	1	0.0985613597302209	0.0289959141366357	0.123212325790227
Phosphate	white_british	0.255	58167	0	1	0.0556946653421368	0.181281498393159	0.237534678706786
Potassium in urine	white_british	0.042	62013	2.4e-25	1	0.00190259748975965	0.0455255205861799	0.047266203387985
SHBG	white_british	0.414	57677	0	1	0.149107814657735	0.198431574528678	0.345758048494689
Sodium in urine	white_british	0.09	62011	2.79e-112	1	0.00797563826535284	0.0916101259264728	0.0988304191782245
Testosterone	white_british	0.175	57774	0	1	0.00116404771128269	0.902905426515886	0.905497642055766
Total bilirubin	white_british	0.533	63531	0	1	0.314014457442437	0.131916989540995	0.443772793081519
Total protein	white_british	0.284	58196	0	1	0.0810367751997293	0.0345979165339723	0.112178295700246
Triglycerides	white_british	0.352	63731	0	1	0.121899181409102	0.102033276993695	0.223443010294121
Urate	white_british	0.378	63704	0	1	0.106495534961736	0.288910344712178	0.396599884664497
Urea	white_british	0.223	63745	0	1	0.0432386500093617	0.108336010030775	0.152140052661992
Vitamin D	white_british	0.226	60998	0	1	0.0407044739229792	0.187425427532531	0.228555734344021
